perfil,horizonte,tA_perc,ctc_cmolc,ativ_arg_cmolc,grosseiros_perc,pH,c_org_perc,na_cmolc,exch.Na,k_cmolc,ca_cmolc,mg_cmolc,al_cmolc,sat_al_perc,p_ppm,SQI_perc,Back et al.
57,AB,87,11.4,13.1,0,4.5,1.04,0.02,0.18,0.03,0.2,0.2,4.6,94,1,28.57,73
57,BA,88,9.9,11.25,0,4.5,0.7,0.01,0.1,0.02,0.2,0.2,3.7,95,1,21.43,83
57,Bw1,88,6,6.82,0,4.8,0.32,0.02,0.33,0.02,0.1,0.1,2,95,1,21.43,83
57,Bw2,89,5.3,5.96,0,5.2,0.17,0.02,0.38,0.02,0.1,0.1,2,95,1,21.43,83
57,Bw3,89,6.5,7.3,0,5.2,0.31,0.02,0.31,0.04,0.1,0.1,2.7,93,1,21.43,83
31,A,50,16.8,33.6,0,4.4,2.79,0.11,0.65,0.25,2.9,0.5,2.3,38,1,35.71,133
31,AB,53,13.1,24.72,0,4.5,1.97,0.08,0.61,0.2,0.9,0.2,2.8,67,1,35.71,123
31,BA,56,11.8,21.07,0,4.7,1.64,0.09,0.76,0.18,0.7,0.7,2.4,71,1,35.71,123
31,Bw1,56,6.5,11.61,0,5,1.01,0.07,1.08,0.1,0.7,0.7,0.7,44,1,42.86,133
31,Bw2,53,4.1,7.74,0,4.5,0.35,0.06,1.46,0.06,0.7,0.7,0.5,38,1,35.71,133
31,BC,51,5.9,11.57,0,4.5,0.17,0.06,1.02,0.06,0.7,0.7,4,83,1,28.57,123
31,C,48,6.8,14.17,0,4.3,0.1,0.06,0.88,0.09,0.5,0.5,5.2,88,1,21.43,103
47,A,85,22,25.88,0,3.9,4.56,0.06,0.27,0.13,0.7,0.7,5.6,86,1,28.57,78
47,AB,87,15.9,18.28,0,4,3.75,0.05,0.31,0.02,0.2,0.2,4.4,94,1,21.43,58
47,BA,87,11.9,13.68,0,4.8,2.02,0.05,0.42,0.02,0.2,0.2,2.2,88,1,28.57,83
47,Bw1,89,8.3,9.33,0,4.2,1.97,0.05,0.6,0.02,0.2,0.2,1.3,81,1,28.57,68
47,Bw2,89,5,5.62,0,5.2,1.09,0.07,1.4,0.06,0.2,0.2,0.1,25,1,42.86,93
47,Bw3,90,6.1,6.78,0,4.3,0.88,0.07,1.15,0.02,0.2,0.2,1.8,86,1,21.43,73
47,BC,89,7,7.87,0,4.2,0.57,0.06,0.86,0.04,0.2,0.2,3.4,92,1,21.43,68
47,C,85,7.3,8.59,0,4.3,0.53,0.06,0.82,0.08,0.2,0.2,4.4,94,1,21.43,63
53,Ap,64,17.3,27.03,0,5.1,1.87,0.03,0.17,0.24,1.5,0.6,3,56,2,35.71,84
53,AB,61,12.7,20.82,3,5.1,1.75,0.03,0.24,0.12,0.9,0.9,2.9,73,1,42.86,83
53,BA,64,11.9,18.59,1,5.2,1.09,0.02,0.17,0.07,0.8,0.8,4.1,82,1,35.71,73
53,Bt,53,9.5,17.92,1,5.3,0.35,0.02,0.21,0.05,0.4,0.4,5,91,7,21.43,115
53,BC1,68,10.5,15.44,4,5.4,0.19,0.01,0.1,0.05,0.9,0.3,2.9,69,8,28.57,110
53,BC2,65,9.7,14.92,3,5.4,0.13,0.02,0.21,0.04,1,0.3,2.4,63,5,28.57,102
53,C,56,11.7,20.89,5,5.5,0.08,0.04,0.34,0.12,2.2,1.1,2.6,43,6,28.57,162
54,A1,69,12.7,18.41,0,5,2.33,0.03,0.24,0.2,2.2,0.7,3.7,54,0,35.71,83
54,AB,70,13.7,19.57,0,5.1,1.98,0.04,0.29,0.11,0.9,0.9,4.4,80,0,42.86,73
54,BA,80,14.7,18.38,0,5.2,1.52,0.02,0.14,0.07,0.6,0.6,5.3,88,0,35.71,73
54,Bt1,83,15.7,18.92,1,5.3,1.04,0.03,0.19,0.06,0.6,0.6,4.9,88,0,35.71,63
54,Bt2,78,16.7,21.41,0,5.4,0.46,0.03,0.18,0.04,0.4,0.4,2.1,81,0,21.43,98
54,Bt3,75,17.7,23.6,0,5.5,0.42,0.04,0.23,0.06,0.6,0.6,3.3,83,0,21.43,98
54,Bt4,73,18.7,25.62,1,5.4,0.31,0.03,0.16,0.08,0.5,0.5,5.9,91,0,21.43,88
54,BC,62,19.7,31.77,1,5.3,0.22,0.03,0.15,0.1,0.9,0.9,19.4,95,0,35.71,63
54,C1,42,20.7,49.29,14,5.3,0.12,0.09,0.43,0.1,1,0.2,13.8,91,0,28.57,123
54,C2,35,21.7,62,37,5.3,0.08,0.06,0.28,0.12,2.3,2.2,23.3,83,0,35.71,83
55,Ap,60,12.7,21.17,0,5,2.13,0.04,0.31,0.14,0.6,0.6,3.9,83,1,35.71,83
55,AB,61,10.3,16.89,3,5,1.54,0.03,0.29,0.06,0.2,0.2,3.5,92,1,28.57,83
55,BA,62,9.7,15.65,2,5.1,1.18,0.02,0.21,0.04,0.1,0.1,3.4,94,1,28.57,83
55,Bt1,50,8.4,16.8,13,5.5,0.46,0.03,0.36,0.04,0.2,0.2,3,91,4,14.29,142
